Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address,Tags
"Black Mountain, N.C. 
 by Joan Drake",155,http://mappalachia.org/pictures/gallery/full_size/map_155.jpg,Joan Drake,1951,Buncombe,Black Mountain,N.C.,Rights Reserved by: Joan Drake,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6178951,-82.3212302,10,,,"Political,Economic"
"Oak Ridge, W.Va. 
 by Josephine Kiti",156,http://mappalachia.org/pictures/gallery/full_size/map_156.jpg,Josephine Kiti,1951,Anderson; Roane,Oak Ridge,W.Va.,Rights Reserved by: Josephine Kiti,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.0103561,-84.2696449,10,,,
"Drawing 
 by Leona M. Dobbins",157,http://mappalachia.org/pictures/gallery/full_size/map_157.jpg,Leona M. Dobbins,1951,Rutherford,Forest City,N.C.,Rights Reserved by: Leona M. Dobbins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.3340108,-81.8651028,10,,,"Political,Economic"
"Drawing 
 by Marian McClung",158,http://mappalachia.org/pictures/gallery/full_size/map_158.jpg,Marian McClung,1951,Nicholas,Summersville,W.Va.,Rights Reserved by: Marian McClung,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2812203,-80.8525981,10,,,"Religious,Political,Economic"
"Stevenson, Ala. 
 by Mary Catherine Bramlett",159,http://mappalachia.org/pictures/gallery/full_size/map_159.jpg,Mary Catherine Bramlett,1951,Jackson,Stevenson,Ala.,Rights Reserved by: Mary Catherine Bramlett,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.8686932,-85.8394199,10,,,"Religious,Economic"
"Beckley, W.Va. 
 by Masiel DeWeese",160,http://mappalachia.org/pictures/gallery/full_size/map_160.jpg,Masiel DeWeese,1951,Raleigh,Beckley,W.Va.,Rights Reserved by: Masiel DeWeese,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7781702,-81.1881557,10,,,"Religious,Political,Economic"
"Olive Hill, Ky. 
 by Troy Greenhill",161,http://mappalachia.org/pictures/gallery/full_size/map_161.jpg,Troy Greenhill,1951,Carter,Olive Hill,Ky.,Rights Reserved by: Troy Greenhill,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3000809,-83.1740654,10,,,Religious
"Toler, Ky. 
 by Emma L. Maynard",162,http://mappalachia.org/pictures/gallery/full_size/map_162.jpg,Emma L. Maynard,1952,Pike,Toler,Ky.,Rights Reserved by: Emma L. Maynard,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6373247,-82.252362,10,,,Economic
"Erwin, Tenn. 
 by Hobert Hampton",163,http://mappalachia.org/pictures/gallery/full_size/map_163.jpg,Hobert Hampton,1952,Unicoi,Erwin,Tenn.,Rights Reserved by: Hobert Hampton,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1451082,-82.4168055,10,,,
"Belfry, Ky. 
 by Janet Colleen Murphy",164,http://mappalachia.org/pictures/gallery/full_size/map_164.jpg,Janet Colleen Murphy,1952,Pike,Belfry,Ky.,Rights Reserved by: Janet Colleen Murphy,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6203804,-82.2690293,10,,,Religious
"Lancaster, Ky. 
 by Jesse Thomas",165,http://mappalachia.org/pictures/gallery/full_size/map_165.jpg,Jesse Thomas,1952,Garrard,Lancaster,Ky.,Rights Reserved by: Jesse Thomas,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,,
"Linefork, Ky. 
 by Wallace Halcomb",166,http://mappalachia.org/pictures/gallery/full_size/map_166.jpg,Wallace Halcomb,1952,Letcher,Linefork,Ky.,Rights Reserved by: Wallace Halcomb,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0198154,-82.9596061,10,,,"Religious,Political,Economic"
"Fincastle, Va. 
 by Betty Hixs",167,http://mappalachia.org/pictures/gallery/full_size/map_167.jpg,Betty Hixs,1957,Botetourt,Fincastle,Va.,Rights Reserved by: Betty Hixs,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4992986,-79.8772647,10,,,
"Whitman, Ky. 
 by Bill Hardesty",168,http://mappalachia.org/pictures/gallery/full_size/map_168.jpg,Bill Hardesty,1957,Logan,Whitman,Ky.,Rights Reserved by: Bill Hardesty,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8631755,-86.7096584,10,,,"Religious,Economic"
"Mars Hill, N.C. 
 by Bill Hawkins",169,http://mappalachia.org/pictures/gallery/full_size/map_169.jpg,Bill Hawkins,1957,Madison,Mars Hill,N.C.,Rights Reserved by: Bill Hawkins,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.8264981,-82.5492999,10,,,Religious
"Gadsden, Ala. 
 by Bob Batie",170,http://mappalachia.org/pictures/gallery/full_size/map_170.jpg,Bob Batie,1957,Etowah,Gadsden,Ala.,Rights Reserved by: Bob Batie,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.014264,-86.0066386,10,,,Religious
"Drawing 
 by Hedwine Kincer",171,http://mappalachia.org/pictures/gallery/full_size/map_171.jpg,Hedwine Kincer,1965,Rowan,Morehead,Ky.,Rights Reserved by: Hedwine Kincer,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1839705,-83.4326841,10,,,Economic
"Kingsport, Tenn. 
 by Carol Street",172,http://mappalachia.org/pictures/gallery/full_size/map_172.jpg,Carol Street,1961,Sullivan; Hawkins,Kingsport,Tenn.,Rights Reserved by: Carol Street,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4786561,-82.5938137,10,,,Economic
"Williamson, W.Va. 
 by Claire Kelly",173,http://mappalachia.org/pictures/gallery/full_size/map_173.jpg,Claire Kelly,1961,Mingo,Williamson,W.Va.,Rights Reserved by: Claire Kelly,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,,"Religious,Economic"
"Berea, Ky. 
 by Charles S. Davidson",174,http://mappalachia.org/pictures/gallery/full_size/map_174.jpg,Charles S. Davidson,1967,Madison,Berea,Ky.,Rights Reserved by: Charles S. Davidson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,Political
"Rice Station, Ky. 
 by Hope Worrell",175,http://mappalachia.org/pictures/gallery/full_size/map_175.jpg,Hope Worrell,1968,Estill,Rice Station,Ky.,Rights Reserved by: Hope Worrell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7041069,-84.0374602,10,,,
"Elizabeth, Ky. 
 by John K. Londan",176,http://mappalachia.org/pictures/gallery/full_size/map_176.jpg,John K. Londan,1969,Allegheny,Elizabeth,Ky.,Rights Reserved by: John K. Londan,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6452126,-85.9323067,10,,,Economic
"Drawing 
 by Lena Prewitt",177,http://mappalachia.org/pictures/gallery/full_size/map_177.jpg,Lena Prewitt,1969,Whitley,Williamsburg,Ky.,Rights Reserved by: Lena Prewitt,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7434169,-84.1596561,10,,,
"Drawing 
 by Rose M Brockman",178,http://mappalachia.org/pictures/gallery/full_size/map_178.jpg,Rose M Brockman,1952,Jackson,Sand Gap,Ky.,Rights Reserved by: Rose M Brockman,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4861962,-84.0904852,10,,,
"Kenova, W.Va. 
 by Ann Lewis",179,http://mappalachia.org/pictures/gallery/full_size/map_179.jpg,Ann Lewis,,Wayne,Kenova,W.Va.,Rights Reserved by: Ann Lewis,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3989711,-82.5782139,10,,,Economic
"Williamson, W.Va. 
 by Ann Runyon",180,http://mappalachia.org/pictures/gallery/full_size/map_180.jpg,Ann Runyon,,Mingo,Williamson,W.Va.,Rights Reserved by: Ann Runyon,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,,Economic
"Berea, Ky. 
 by Betty Thompson",181,http://mappalachia.org/pictures/gallery/full_size/map_181.jpg,Betty Thompson,1965,Madison,Berea,Ky.,Rights Reserved by: Betty Thompson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Corbin, Ky. 
 by John Shotwell",182,http://mappalachia.org/pictures/gallery/full_size/map_182.jpg,John Shotwell,1965,Whitley & Knox,Corbin,Ky.,Rights Reserved by: John Shotwell,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9160824,-84.1221094,10,,,Economic
"Drawing 
 by Arthur Williams Jr.",184,http://mappalachia.org/pictures/gallery/full_size/map_184.jpg,Arthur Williams Jr.,,Dickenson,Trammel,Va.,Rights Reserved by: Arthur Williams Jr.,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0145499,-82.2937534,10,,,Economic
"Berea, Ky. 
 by Becky Henderson",185,http://mappalachia.org/pictures/gallery/full_size/map_185.jpg,Becky Henderson,,Madison,Berea,Ky.,Rights Reserved by: Becky Henderson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Religious,Economic"
"Bristol, Tenn. 
 by Alan Lewis",186,http://mappalachia.org/pictures/gallery/full_size/map_186.jpg,Alan Lewis,,Sullivan,Bristol,Tenn.,Rights Reserved by: Alan Lewis,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5951059,-82.1887444,10,,,
"Staunton, Va. 
 by Bernard Furry",187,http://mappalachia.org/pictures/gallery/full_size/map_187.jpg,Bernard Furry,,Augusta,Staunton,Va.,Rights Reserved by: Bernard Furry,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1678331,-79.0569624,10,,,
"Poplarville, Ky. 
 by Beecher Hines",188,http://mappalachia.org/pictures/gallery/full_size/map_188.jpg,Beecher Hines,,Pulaski,Poplarville,Ky.,Rights Reserved by: Beecher Hines,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0242472,-84.4377158,10,,,
"Wheelwright, Ky. 
 by Bill Hall",190,http://mappalachia.org/pictures/gallery/full_size/map_190.jpg,Bill Hall,,Floyed,Wheelwright,Ky.,Rights Reserved by: Bill Hall,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,,"Religious,Economic"
"Wheelwright, Ky. 
 by Bill Banks",194,http://mappalachia.org/pictures/gallery/full_size/map_194.jpg,Bill Banks,,Floyd,Wheelwright,Ky.,Rights Reserved by: Bill Banks,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3326024,-82.7209904,10,,,
"Berea, Ky. 
 by David Henderson",196,http://mappalachia.org/pictures/gallery/full_size/map_196.jpg,David Henderson,,Madison,Berea,Ky.,Rights Reserved by: David Henderson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,"Gender,Religious,Economic"
"Buffalo, Ky. 
 by David S Thomas",197,http://mappalachia.org/pictures/gallery/full_size/map_197.jpg,David S Thomas,,Laurel,Buffalo,Ky.,Rights Reserved by: David S Thomas,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.979814,-83.2171188,10,,,"Religious,Economic"
"Kimball, W.Va. 
 by Dean Jones",198,http://mappalachia.org/pictures/gallery/full_size/map_198.jpg,Dean Jones,,McDowell,Kimball,W.Va.,Rights Reserved by: Dean Jones,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4256698,-81.5067713,10,,,"Religious,Economic"
"Lost Creek, Ky. 
 by Doris Watts",199,http://mappalachia.org/pictures/gallery/full_size/map_199.jpg,Doris Watts,1963,Breathitt,Lost Creek,Ky.,Rights Reserved by: Doris Watts,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4790876,-83.3228226,10,,,
"Berea, Ky. 
 by Donald R Thomas",200,http://mappalachia.org/pictures/gallery/full_size/map_200.jpg,Donald R Thomas	,,Madison,Berea,Ky.,Rights Reserved by: Donald R Thomas	,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,,
"Tango, W.Va. 
 by Dorothy Chandler",202,http://mappalachia.org/pictures/gallery/full_size/map_202.jpg,Dorothy Chandler,,Lincoln,Tango,W.Va.,Rights Reserved by: Dorothy Chandler,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.252317,-81.9262411,10,,,"Religious,Economic"
"Drawing 
 by Bonnie J. Baker",203,http://mappalachia.org/pictures/gallery/full_size/map_203.jpg,Bonnie J. Baker,1965,Mineral,Keyser,Ky.,Rights Reserved by: Bonnie J. Baker,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.4409277,-78.9739156,10,,,
"Franklin, Ohio 
 by Donna Pratt Franklin",204,http://mappalachia.org/pictures/gallery/full_size/map_204.jpg,Donna Pratt Franklin,,Warren,Franklin,Ohio,Rights Reserved by: Donna Pratt Franklin,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.5709413,-84.2996307,10,,,"Religious,Economic"
"Ansted, W.Va. 
 by Jack Bragg",205,http://mappalachia.org/pictures/gallery/full_size/map_205.jpg,Jack Bragg,1965,Fayette,Ansted,W.Va.,Rights Reserved by: Jack Bragg,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1362201,-81.0995479,10,,,
"Marble, N.C. 
 by Dan Kilpatrick",206,http://mappalachia.org/pictures/gallery/full_size/map_206.jpg,Dan Kilpatrick,1966,Cherckee,Marble,N.C.,Rights Reserved by: Dan Kilpatrick,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1742654,-83.9265206,10,,,
"Bethel, Ky. 
 by Bob Colliver",207,http://mappalachia.org/pictures/gallery/full_size/map_207.jpg,Bob Colliver,1969,Bath,Bethel,Ky.,Rights Reserved by: Bob Colliver,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.2450771,-83.8679779,10,,,Religious
"Drawing 
 by Jerry Tolliver",208,http://mappalachia.org/pictures/gallery/full_size/map_208.jpg,Jerry Tolliver,1964,Perry,Walkertown,Ky.,Rights Reserved by: Jerry Tolliver,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2637067,-83.1904506,10,,,Economic
